Fold,R2 Train,R2 Test,MSE Train,MSE Test,RMSE Test,MAE Test
1,0.9999605040010124,0.9943395015227302,0.16999905336588253,34.7979726968406,5.8989806489630565,1.2391632055378068
2,0.9998775698778218,0.9969519497992311,0.526912497484835,18.769962825202015,4.332431514196389,0.9377766240681576
3,0.999893904111617,0.9949801186175894,0.49011755829264697,16.63347508945687,4.078415757307838,0.9529345047923327
4,0.9999720002858093,0.9931564784490028,0.11681751821275335,50.16111588957704,7.0824512627745655,1.2082440095846654
5,0.9998856974313346,0.9960437901521288,0.5178050837254031,16.310271212216026,4.038597678924706,0.8214250532481358
6,0.9998884887112413,0.9905621663610161,0.5302598079153721,19.720795688365282,4.440810251335367,0.9894430244941429
7,0.9999031531908903,0.9957846043898005,0.43104861091877505,20.383757221245936,4.514837452361484,0.9550143769968057
8,0.999879435454895,0.9926890268972517,0.5280726755429316,39.99693396500575,6.324312924342514,1.2349499067412726
9,0.9998950681852927,0.975835022473095,0.49971270879933727,48.811376746225356,6.986513919418279,1.1958855582200898
10,0.9998847785820424,0.9970928857475218,0.531754626841825,9.74342211270984,3.1214455165371446,0.7668129496402866
